UID,NERC,Region,Start,End,Center,Center_DOY,T_Max_Min,Duration,Regions_Impacted
HW_NERC1_Event56,1,CA,2003-07-16,2003-07-18,2003-07-17,198,91.68,3,4.0
HW_NERC1_Event57,1,CA,2005-07-14,2005-07-18,2005-07-16,197,91.21,5,7.0
HW_NERC1_Event58,1,CA,2006-06-25,2006-06-26,2006-06-25,176,91.09,2,2.0
HW_NERC1_Event59,1,CA,2006-07-15,2006-07-18,2006-07-16,197,91.29,4,14.0
HW_NERC1_Event60,1,CA,2006-07-20,2006-07-26,2006-07-23,204,98.68,7,6.0
HW_NERC1_Event61,1,CA,2007-07-04,2007-07-06,2007-07-05,186,93.17,3,5.0
HW_NERC1_Event62,1,CA,2007-08-29,2007-09-02,2007-08-31,243,92.2,5,1.0
HW_NERC1_Event63,1,CA,2008-06-20,2008-06-21,2008-06-20,172,92.21,2,1.0
HW_NERC1_Event64,1,CA,2008-07-07,2008-07-10,2008-07-08,190,93.29,4,2.0
HW_NERC1_Event65,1,CA,2008-08-28,2008-08-29,2008-08-28,241,90.61,2,1.0
HW_NERC1_Event66,1,CA,2009-07-17,2009-07-20,2009-07-18,199,92.54,4,2.0
HW_NERC1_Event67,1,CA,2009-08-27,2009-08-30,2009-08-28,240,92.73,4,1.0
HW_NERC1_Event68,1,CA,2009-09-26,2009-09-26,2009-09-26,269,90.32,1,1.0
HW_NERC1_Event69,1,CA,2010-07-16,2010-07-16,2010-07-16,197,90.59,1,9.0
HW_NERC1_Event70,1,CA,2010-08-24,2010-08-25,2010-08-24,236,92.98,2,3.0
HW_NERC1_Event71,1,CA,2010-09-26,2010-09-29,2010-09-27,270,92.56,4,1.0
HW_NERC1_Event72,1,CA,2012-07-11,2012-07-11,2012-07-11,193,90.48,1,5.0
HW_NERC1_Event73,1,CA,2012-08-08,2012-08-14,2012-08-11,224,93.26,7,4.0
HW_NERC1_Event74,1,CA,2012-10-01,2012-10-01,2012-10-01,275,90.18,1,1.0
HW_NERC1_Event75,1,CA,2013-06-28,2013-07-04,2013-07-01,182,94.04,7,3.0
HW_NERC1_Event76,1,CA,2014-07-31,2014-07-31,2014-07-31,212,90.27,1,2.0
HW_NERC1_Event77,1,CA,2015-08-16,2015-08-17,2015-08-16,228,92.28,2,5.0
HW_NERC1_Event78,1,CA,2015-09-09,2015-09-11,2015-09-10,253,91.44,3,2.0
HW_NERC1_Event79,1,CA,2016-06-27,2016-06-28,2016-06-27,179,91.09,2,2.0
HW_NERC1_Event80,1,CA,2016-07-23,2016-07-24,2016-07-23,205,90.85,2,10.0
HW_NERC1_Event81,1,CA,2016-07-26,2016-07-29,2016-07-27,209,91.91,4,7.0
HW_NERC1_Event82,1,CA,2017-06-19,2017-06-21,2017-06-20,171,91.48,3,3.0
HW_NERC1_Event83,1,CA,2017-07-06,2017-07-09,2017-07-07,188,93.57,4,5.0
HW_NERC1_Event84,1,CA,2017-07-16,2017-07-16,2017-07-16,197,90.58,1,1.0
HW_NERC1_Event85,1,CA,2017-08-01,2017-08-03,2017-08-02,214,92.29,3,2.0
HW_NERC1_Event86,1,CA,2017-08-26,2017-09-04,2017-08-30,242,97.54,10,3.0
HW_NERC1_Event87,1,CA,2018-07-06,2018-07-09,2018-07-07,188,93.77,4,4.0
HW_NERC1_Event88,1,CA,2018-07-23,2018-07-28,2018-07-25,206,93.52,6,3.0
HW_NERC1_Event89,1,CA,2018-07-30,2018-07-31,2018-07-30,211,90.17,2,5.0
HW_NERC1_Event90,1,CA,2018-08-07,2018-08-10,2018-08-08,220,91.44,4,7.0
HW_NERC1_Event91,1,CA,2019-08-15,2019-08-15,2019-08-15,227,90.4,1,3.0
HW_NERC1_Event92,1,CA,2020-07-12,2020-07-12,2020-07-12,194,90.5,1,7.0
