NERC_ID,start_date,end_date,duration,centroid_date,highest_temperature
California,2018-07-06,2018-07-09,4,2018-07-07,307.314142453837
California,2018-07-23,2018-07-28,6,2018-07-25,307.176424770773
California,2018-07-30,2018-07-31,2,2018-07-30,305.314830249461
California,2018-08-07,2018-08-10,4,2018-08-08,306.019731661293
California,2019-08-15,2019-08-15,1,2019-08-15,305.442391009214
California,2020-07-12,2020-07-12,1,2020-07-12,305.500769973644
California,2020-08-13,2020-08-21,9,2020-08-17,309.710340517731
California,2020-09-04,2020-09-08,5,2020-09-06,310.986663340785
California,2020-09-30,2020-10-03,4,2020-10-01,306.463977377599
California,2021-06-16,2021-06-19,4,2021-06-17,307.149985503262
California,2021-06-27,2021-06-28,2,2021-06-27,305.767493212327
California,2021-07-08,2021-07-12,5,2021-07-10,307.549964996943
California,2021-08-15,2021-08-16,2,2021-08-15,306.007394742413
California,2021-08-28,2021-08-29,2,2021-08-28,306.051422914849
California,2021-09-06,2021-09-08,3,2021-09-07,305.664622296448
California,2022-07-17,2022-07-17,1,2022-07-17,305.321782964949
California,2022-08-31,2022-09-09,10,2022-09-04,310.25337895047
California,2023-07-02,2023-07-02,1,2023-07-02,305.345026132397
California,2023-07-15,2023-07-17,3,2023-07-16,306.993942222619
California,2023-07-21,2023-07-24,4,2023-07-22,306.367818674079
California,2023-08-15,2023-08-16,2,2023-08-15,305.83367081671
California,2023-08-29,2023-08-29,1,2023-08-29,305.624887944065
California,2024-07-03,2024-07-13,11,2024-07-08,308.818286735677
California,2024-07-19,2024-07-25,7,2024-07-22,306.842578564306
California,2024-08-05,2024-08-06,2,2024-08-05,305.499504710516
California,2024-09-04,2024-09-09,6,2024-09-06,308.115723005625
California,2024-10-01,2024-10-06,6,2024-10-03,306.971487997837
ERCOT,1980-06-24,1980-07-04,11,1980-06-29,314.93823017428
ERCOT,1980-07-12,1980-07-18,7,1980-07-15,313.140877254296
ERCOT,1985-08-08,1985-08-08,1,1985-08-08,311.71811295529
ERCOT,1986-07-25,1986-08-01,8,1986-07-28,313.167344621555
ERCOT,1986-08-19,1986-08-20,2,1986-08-19,312.054463454813
ERCOT,1990-06-25,1990-06-27,3,1990-06-26,312.465170698483
ERCOT,1993-07-24,1993-07-25,2,1993-07-24,311.91445543889
ERCOT,1994-06-08,1994-06-08,1,1994-06-08,311.819683973734
ERCOT,1994-06-25,1994-07-02,8,1994-06-28,314.933533568167
ERCOT,1994-07-07,1994-07-07,1,1994-07-07,311.872064316156
ERCOT,1994-07-23,1994-07-25,3,1994-07-24,312.103059906318
ERCOT,1994-08-18,1994-08-19,2,1994-08-18,311.751465056119
ERCOT,1995-07-22,1995-07-29,8,1995-07-25,314.129519723114
ERCOT,1996-06-19,1996-06-21,3,1996-06-20,312.864480014854
ERCOT,1996-07-05,1996-07-07,3,1996-07-06,312.7121215366
ERCOT,1996-07-21,1996-07-22,2,1996-07-21,311.732924066345
ERCOT,1996-08-02,1996-08-04,3,1996-08-03,312.274209672678
ERCOT,1998-05-31,1998-06-03,4,1998-06-01,312.64396879059
ERCOT,1998-06-13,1998-06-15,3,1998-06-14,312.212129032028
ERCOT,1998-06-18,1998-06-21,4,1998-06-19,312.695107778516
ERCOT,1998-06-26,1998-06-28,3,1998-06-27,312.152596197926
ERCOT,1998-07-06,1998-07-16,11,1998-07-11,313.352279327335
ERCOT,1998-07-25,1998-07-25,1,1998-07-25,311.653075265145
ERCOT,1998-07-30,1998-08-03,5,1998-08-01,312.330209581014
ERCOT,1999-08-09,1999-08-15,7,1999-08-12,312.325001020328
ERCOT,2000-07-14,2000-07-20,7,2000-07-17,313.087944481542
ERCOT,2000-08-12,2000-08-13,2,2000-08-12,311.988295697286
ERCOT,2000-08-31,2000-09-06,7,2000-09-03,314.533121938195
ERCOT,2001-07-12,2001-07-12,1,2001-07-12,311.763458068226
ERCOT,2001-07-22,2001-07-23,2,2001-07-22,311.952866203499
ERCOT,2003-08-03,2003-08-09,7,2003-08-06,313.568570598629
ERCOT,2005-07-02,2005-07-04,3,2005-07-03,311.905611217521
ERCOT,2006-07-12,2006-07-13,2,2006-07-12,311.734632065681
ERCOT,2006-07-17,2006-07-20,4,2006-07-18,312.505425889392
ERCOT,2008-07-28,2008-07-28,1,2008-07-28,311.778303469209
ERCOT,2008-08-03,2008-08-04,2,2008-08-03,311.974878948769
ERCOT,2009-06-25,2009-06-27,3,2009-06-26,312.40096949216
ERCOT,2009-07-08,2009-07-16,9,2009-07-12,313.504172104815
ERCOT,2009-08-04,2009-08-07,4,2009-08-05,312.07692922565
ERCOT,2010-08-01,2010-08-02,2,2010-08-01,311.785579059912
ERCOT,2010-08-13,2010-08-14,2,2010-08-13,311.73231908988
ERCOT,2010-08-22,2010-08-23,2,2010-08-22,312.478632634638
ERCOT,2011-05-28,2011-05-28,1,2011-05-28,311.657168089434
ERCOT,2011-06-13,2011-06-20,8,2011-06-16,313.686964745344
ERCOT,2011-06-25,2011-06-29,5,2011-06-27,313.179668644397
ERCOT,2011-07-07,2011-07-09,3,2011-07-08,312.382074562825
ERCOT,2011-07-13,2011-07-15,3,2011-07-14,312.049339776877
ERCOT,2011-07-21,2011-07-28,8,2011-07-24,312.453059761121
ERCOT,2011-07-31,2011-08-11,12,2011-08-05,313.958931216529
ERCOT,2011-08-15,2011-08-31,17,2011-08-23,313.980971627673
ERCOT,2012-06-25,2012-06-28,4,2012-06-26,313.479484356883
ERCOT,2012-07-21,2012-07-22,2,2012-07-21,311.84115315756
ERCOT,2012-07-30,2012-08-04,6,2012-08-01,313.506027216569
ERCOT,2012-08-08,2012-08-13,6,2012-08-10,312.495020308131
ERCOT,2012-09-06,2012-09-06,1,2012-09-06,311.762892476942
ERCOT,2013-06-26,2013-06-29,4,2013-06-27,312.844279168425
ERCOT,2013-08-02,2013-08-02,1,2013-08-02,311.645087384732
ERCOT,2013-08-05,2013-08-08,4,2013-08-06,312.792239410013
ERCOT,2015-08-06,2015-08-10,5,2015-08-08,312.070161100602
ERCOT,2016-07-05,2016-07-06,2,2016-07-05,311.719314686616
ERCOT,2017-06-17,2017-06-17,1,2017-06-17,311.771763376354
ERCOT,2017-07-28,2017-07-28,1,2017-07-28,311.678366160767
ERCOT,2018-05-31,2018-06-01,2,2018-05-31,311.907583981792
ERCOT,2018-06-06,2018-06-06,1,2018-06-06,311.69400390775
ERCOT,2018-07-17,2018-07-24,8,2018-07-20,314.617072169976
ERCOT,2019-08-08,2019-08-19,12,2019-08-13,312.743264886465
ERCOT,2019-08-25,2019-08-27,3,2019-08-26,313.200281593019
ERCOT,2020-07-10,2020-07-16,7,2020-07-13,314.377420948165
ERCOT,2020-08-12,2020-08-16,5,2020-08-14,313.179442499585
ERCOT,2020-08-28,2020-08-30,3,2020-08-29,312.43654505512
ERCOT,2022-06-10,2022-06-14,5,2022-06-12,313.915299308067
ERCOT,2022-06-24,2022-06-25,2,2022-06-24,312.003800214472
ERCOT,2022-07-06,2022-07-22,17,2022-07-14,314.250715667762
ERCOT,2022-07-24,2022-07-27,4,2022-07-25,311.950464066784
ERCOT,2022-08-02,2022-08-04,3,2022-08-03,312.232351182309
ERCOT,2023-06-18,2023-06-29,12,2023-06-23,314.441734399005
ERCOT,2023-07-10,2023-08-26,48,2023-08-02,314.594946104074
ERCOT,2023-09-04,2023-09-09,6,2023-09-06,313.222260564159
ERCOT,2024-07-02,2024-07-03,2,2024-07-02,311.841695880501
ERCOT,2024-08-07,2024-08-08,2,2024-08-07,312.377366749634
ERCOT,2024-08-16,2024-08-24,9,2024-08-20,313.456026785297
Florida,1980-07-10,1980-07-15,6,1980-07-12,308.713610581607
Florida,1980-08-03,1980-08-03,1,1980-08-03,307.278568084794
Florida,1981-06-10,1981-06-19,10,1981-06-14,309.621787324348
Florida,1981-06-21,1981-06-22,2,1981-06-21,307.910065464569
Florida,1981-07-06,1981-07-17,12,1981-07-11,309.036478813266
Florida,1981-07-27,1981-07-28,2,1981-07-27,307.746757826554
Florida,1983-07-16,1983-07-18,3,1983-07-17,307.821329310436
Florida,1983-07-23,1983-07-25,3,1983-07-24,307.531305612559
Florida,1983-08-20,1983-08-22,3,1983-08-21,307.988206730018
Florida,1985-06-01,1985-06-09,9,1985-06-05,309.280811252189
Florida,1986-07-17,1986-07-20,4,1986-07-18,308.121947379806
Florida,1986-07-31,1986-08-02,3,1986-08-01,308.07673695116
Florida,1987-07-12,1987-07-13,2,1987-07-12,307.581030537716
Florida,1987-07-23,1987-07-24,2,1987-07-23,307.501211958564
Florida,1987-08-05,1987-08-10,6,1987-08-07,309.254260453038
Florida,1987-08-30,1987-08-30,1,1987-08-30,307.262050076932
Florida,1988-06-23,1988-06-25,3,1988-06-24,307.87979553392
Florida,1988-07-31,1988-08-02,3,1988-08-01,307.71809826376
Florida,1989-05-27,1989-05-27,1,1989-05-27,307.363763152688
Florida,1989-06-03,1989-06-04,2,1989-06-03,307.239215846931
Florida,1989-06-15,1989-06-15,1,1989-06-15,307.182534931882
Florida,1989-07-10,1989-07-12,3,1989-07-11,307.886686889929
Florida,1989-08-04,1989-08-07,4,1989-08-05,308.036525581003
Florida,1989-08-24,1989-08-24,1,1989-08-24,307.269172588186
Florida,1990-06-19,1990-06-20,2,1990-06-19,308.195635696933
Florida,1990-06-30,1990-07-01,2,1990-06-30,307.494433884633
Florida,1992-07-03,1992-07-06,4,1992-07-04,307.884739245884
Florida,1992-07-08,1992-07-11,4,1992-07-09,307.62373335987
Florida,1992-07-27,1992-07-27,1,1992-07-27,307.181410136782
Florida,1993-06-07,1993-06-11,5,1993-06-09,307.812379680442
Florida,1993-07-17,1993-07-18,2,1993-07-17,307.481649411604
Florida,1993-07-28,1993-08-08,12,1993-08-02,308.14925143864
Florida,1995-06-09,1995-06-10,2,1995-06-09,307.188965977408
Florida,1995-08-14,1995-08-16,3,1995-08-15,307.788571308509
Florida,1996-07-20,1996-07-21,2,1996-07-20,307.443218818824
Florida,1996-07-27,1996-07-29,3,1996-07-28,307.594527879831
Florida,1997-07-03,1997-07-04,2,1997-07-03,307.535978414907
Florida,1998-05-21,1998-05-22,2,1998-05-21,307.257982178696
Florida,1998-05-24,1998-05-25,2,1998-05-24,307.434305825182
Florida,1998-06-01,1998-06-06,6,1998-06-03,308.910594370468
Florida,1998-06-10,1998-07-06,27,1998-06-23,310.590375948464
Florida,1998-07-09,1998-07-11,3,1998-07-10,308.308699469039
Florida,1998-08-25,1998-08-29,5,1998-08-27,309.033414383898
Florida,1998-08-31,1998-08-31,1,1998-08-31,307.639025520458
Florida,1999-07-28,1999-08-02,6,1999-07-30,309.571149639209
Florida,1999-08-12,1999-08-13,2,1999-08-12,307.463306430725
Florida,2000-05-26,2000-05-28,3,2000-05-27,307.896748905024
Florida,2000-06-02,2000-06-04,3,2000-06-03,308.415576243673
Florida,2000-06-15,2000-06-19,5,2000-06-17,307.588505500686
Florida,2000-07-16,2000-07-21,6,2000-07-18,309.17463169343
Florida,2000-08-18,2000-08-18,1,2000-08-18,307.406969747252
Florida,2002-06-03,2002-06-04,2,2002-06-03,307.911987071068
Florida,2002-07-16,2002-07-16,1,2002-07-16,307.390812977182
Florida,2002-07-18,2002-07-18,1,2002-07-18,307.217558413749
Florida,2002-08-24,2002-08-24,1,2002-08-24,307.194576838442
Florida,2004-05-30,2004-05-31,2,2004-05-30,307.52801445023
